date,day_of_sale,week_of_year,year_of_sales,week_type,shop_id,shop_name,customers,sales_usd,avg_sales_per_person,pct_family,pct_female,pct_male,pct_single,avg_temp_f,humidity_pct,is_rain,precip_in
2023-01-01,Sunday,1,2023,Weekends,4,Jacksonville,250,3972.4,15.89,49.4,52.1,47.9,50.6,77.9,46.3,0,0.0
2023-01-01,Sunday,1,2023,Weekends,2,Orlando,289,4887.88,16.91,49.4,52.1,47.9,50.6,77.9,46.3,0,0.0
2023-01-01,Sunday,1,2023,Weekends,1,Miami Beach,296,5440.48,18.38,49.4,52.1,47.9,50.6,77.9,46.3,0,0.0
2023-01-01,Sunday,1,2023,Weekends,3,Tampa,225,3716.96,16.52,49.4,52.1,47.9,50.6,77.9,46.3,0,0.0
2023-01-02,Monday,1,2023,Weekdays,4,Jacksonville,189,2805.14,14.84,45.6,52.6,47.4,54.4,73.9,51.1,1,0.31
2023-01-02,Monday,1,2023,Weekdays,2,Orlando,219,3968.51,18.12,45.6,52.6,47.4,54.4,73.9,51.1,1,0.31
2023-01-02,Monday,1,2023,Weekdays,1,Miami Beach,253,4754.25,18.79,45.6,52.6,47.4,54.4,73.9,51.1,1,0.31
2023-01-02,Monday,1,2023,Weekdays,3,Tampa,216,3117.7,14.43,45.6,52.6,47.4,54.4,73.9,51.1,1,0.31
2023-01-03,Tuesday,1,2023,Weekdays,4,Jacksonville,197,3149.25,15.99,43.9,49.7,50.3,56.1,76.3,51.6,0,0.0
2023-01-03,Tuesday,1,2023,Weekdays,3,Tampa,200,3072.35,15.36,43.9,49.7,50.3,56.1,76.3,51.6,0,0.0
2023-01-03,Tuesday,1,2023,Weekdays,2,Orlando,230,4042.33,17.58,43.9,49.7,50.3,56.1,76.3,51.6,0,0.0
2023-01-03,Tuesday,1,2023,Weekdays,1,Miami Beach,225,4326.42,19.23,43.9,49.7,50.3,56.1,76.3,51.6,0,0.0
2023-01-04,Wednesday,1,2023,Weekdays,1,Miami Beach,246,4570.11,18.58,44.8,51.4,48.6,55.2,74.2,51.6,0,0.0
2023-01-04,Wednesday,1,2023,Weekdays,4,Jacksonville,159,2301.54,14.48,44.8,51.4,48.6,55.2,74.2,51.6,0,0.0
2023-01-04,Wednesday,1,2023,Weekdays,2,Orlando,192,3425.17,17.84,44.8,51.4,48.6,55.2,74.2,51.6,0,0.0
2023-01-04,Wednesday,1,2023,Weekdays,3,Tampa,200,3176.15,15.88,44.8,51.4,48.6,55.2,74.2,51.6,0,0.0
2023-01-05,Thursday,1,2023,Weekdays,2,Orlando,188,3260.61,17.34,43.6,49.6,50.4,56.4,72.7,54.8,0,0.0
2023-01-05,Thursday,1,2023,Weekdays,1,Miami Beach,235,4202.11,17.88,43.6,49.6,50.4,56.4,72.7,54.8,0,0.0
2023-01-05,Thursday,1,2023,Weekdays,4,Jacksonville,195,3129.23,16.05,43.6,49.6,50.4,56.4,72.7,54.8,0,0.0
2023-01-05,Thursday,1,2023,Weekdays,3,Tampa,210,3646.07,17.36,43.6,49.6,50.4,56.4,72.7,54.8,0,0.0
2023-01-06,Friday,1,2023,Weekdays,4,Jacksonville,170,2783.74,16.37,45.3,49.3,50.7,54.7,73.1,44.1,1,0.33
2023-01-06,Friday,1,2023,Weekdays,1,Miami Beach,223,4067.3,18.24,45.3,49.3,50.7,54.7,73.1,44.1,1,0.33
2023-01-06,Friday,1,2023,Weekdays,2,Orlando,222,3962.5,17.85,45.3,49.3,50.7,54.7,73.1,44.1,1,0.33
2023-01-06,Friday,1,2023,Weekdays,3,Tampa,200,3372.63,16.86,45.3,49.3,50.7,54.7,73.1,44.1,1,0.33
2023-01-07,Saturday,1,2023,Weekends,3,Tampa,260,4033.61,15.51,52.5,51.0,49.0,47.5,74.9,48.3,0,0.0
2023-01-07,Saturday,1,2023,Weekends,1,Miami Beach,304,5141.29,16.91,52.5,51.0,49.0,47.5,74.9,48.3,0,0.0
2023-01-07,Saturday,1,2023,Weekends,4,Jacksonville,193,2847.72,14.76,52.5,51.0,49.0,47.5,74.9,48.3,0,0.0
2023-01-07,Saturday,1,2023,Weekends,2,Orlando,243,4022.73,16.55,52.5,51.0,49.0,47.5,74.9,48.3,0,0.0
2023-01-08,Sunday,2,2023,Weekends,4,Jacksonville,167,2361.04,14.14,50.9,50.9,49.1,49.1,68.4,39.7,1,0.48
2023-01-08,Sunday,2,2023,Weekends,2,Orlando,231,4061.02,17.58,50.9,50.9,49.1,49.1,68.4,39.7,1,0.48
2023-01-08,Sunday,2,2023,Weekends,1,Miami Beach,235,4270.28,18.17,50.9,50.9,49.1,49.1,68.4,39.7,1,0.48
2023-01-08,Sunday,2,2023,Weekends,3,Tampa,237,3907.93,16.49,50.9,50.9,49.1,49.1,68.4,39.7,1,0.48
2023-01-09,Monday,2,2023,Weekdays,1,Miami Beach,251,4431.64,17.66,45.9,50.8,49.2,54.1,74.3,49.8,0,0.0
2023-01-09,Monday,2,2023,Weekdays,4,Jacksonville,186,2927.95,15.74,45.9,50.8,49.2,54.1,74.3,49.8,0,0.0
2023-01-09,Monday,2,2023,Weekdays,3,Tampa,246,3995.93,16.24,45.9,50.8,49.2,54.1,74.3,49.8,0,0.0
2023-01-09,Monday,2,2023,Weekdays,2,Orlando,257,4292.67,16.7,45.9,50.8,49.2,54.1,74.3,49.8,0,0.0
2023-01-10,Tuesday,2,2023,Weekdays,2,Orlando,194,3404.83,17.55,42.5,51.5,48.5,57.5,70.3,37.1,0,0.0
2023-01-10,Tuesday,2,2023,Weekdays,4,Jacksonville,172,2625.44,15.26,42.5,51.5,48.5,57.5,70.3,37.1,0,0.0
2023-01-10,Tuesday,2,2023,Weekdays,3,Tampa,166,2885.05,17.38,42.5,51.5,48.5,57.5,70.3,37.1,0,0.0
2023-01-10,Tuesday,2,2023,Weekdays,1,Miami Beach,215,3918.9,18.23,42.5,51.5,48.5,57.5,70.3,37.1,0,0.0
2023-01-11,Wednesday,2,2023,Weekdays,2,Orlando,208,3360.16,16.15,44.1,49.4,50.6,55.9,71.9,44.6,0,0.0
2023-01-11,Wednesday,2,2023,Weekdays,3,Tampa,171,2822.53,16.51,44.1,49.4,50.6,55.9,71.9,44.6,0,0.0
2023-01-11,Wednesday,2,2023,Weekdays,1,Miami Beach,219,4151.64,18.96,44.1,49.4,50.6,55.9,71.9,44.6,0,0.0
2023-01-11,Wednesday,2,2023,Weekdays,4,Jacksonville,220,3312.33,15.06,44.1,49.4,50.6,55.9,71.9,44.6,0,0.0
2023-01-12,Thursday,2,2023,Weekdays,3,Tampa,178,3136.8,17.62,45.6,50.3,49.7,54.4,72.0,42.7,0,0.0
2023-01-12,Thursday,2,2023,Weekdays,1,Miami Beach,211,3894.75,18.46,45.6,50.3,49.7,54.4,72.0,42.7,0,0.0
2023-01-12,Thursday,2,2023,Weekdays,4,Jacksonville,205,3331.17,16.25,45.6,50.3,49.7,54.4,72.0,42.7,0,0.0
2023-01-12,Thursday,2,2023,Weekdays,2,Orlando,172,2747.66,15.97,45.6,50.3,49.7,54.4,72.0,42.7,0,0.0
2023-01-13,Friday,2,2023,Weekdays,1,Miami Beach,237,4477.85,18.89,47.3,50.5,49.5,52.7,76.2,40.2,0,0.0
2023-01-13,Friday,2,2023,Weekdays,2,Orlando,241,3643.22,15.12,47.3,50.5,49.5,52.7,76.2,40.2,0,0.0
2023-01-13,Friday,2,2023,Weekdays,4,Jacksonville,168,2668.55,15.88,47.3,50.5,49.5,52.7,76.2,40.2,0,0.0
2023-01-13,Friday,2,2023,Weekdays,3,Tampa,209,3623.03,17.34,47.3,50.5,49.5,52.7,76.2,40.2,0,0.0
2023-01-14,Saturday,2,2023,Weekends,2,Orlando,247,4490.21,18.18,50.6,49.6,50.4,49.4,71.2,38.4,0,0.0
2023-01-14,Saturday,2,2023,Weekends,1,Miami Beach,263,5073.23,19.29,50.6,49.6,50.4,49.4,71.2,38.4,0,0.0
2023-01-14,Saturday,2,2023,Weekends,4,Jacksonville,246,4152.18,16.88,50.6,49.6,50.4,49.4,71.2,38.4,0,0.0
2023-01-14,Saturday,2,2023,Weekends,3,Tampa,209,3170.73,15.17,50.6,49.6,50.4,49.4,71.2,38.4,0,0.0
2023-01-15,Sunday,3,2023,Weekends,1,Miami Beach,270,4512.77,16.71,51.5,51.0,49.0,48.5,69.2,39.7,0,0.0
2023-01-15,Sunday,3,2023,Weekends,4,Jacksonville,169,2671.57,15.81,51.5,51.0,49.0,48.5,69.2,39.7,0,0.0
2023-01-15,Sunday,3,2023,Weekends,2,Orlando,197,3665.89,18.61,51.5,51.0,49.0,48.5,69.2,39.7,0,0.0
2023-01-15,Sunday,3,2023,Weekends,3,Tampa,226,3513.43,15.55,51.5,51.0,49.0,48.5,69.2,39.7,0,0.0
2023-01-16,Monday,3,2023,Weekdays,2,Orlando,185,3014.91,16.3,45.1,49.1,50.9,54.9,72.5,42.2,0,0.0
2023-01-16,Monday,3,2023,Weekdays,4,Jacksonville,168,2637.18,15.7,45.1,49.1,50.9,54.9,72.5,42.2,0,0.0
2023-01-16,Monday,3,2023,Weekdays,3,Tampa,194,3199.01,16.49,45.1,49.1,50.9,54.9,72.5,42.2,0,0.0
2023-01-16,Monday,3,2023,Weekdays,1,Miami Beach,230,4276.97,18.6,45.1,49.1,50.9,54.9,72.5,42.2,0,0.0
2023-01-17,Tuesday,3,2023,Weekdays,2,Orlando,239,4145.18,17.34,43.0,51.7,48.3,57.0,75.2,40.9,0,0.0
2023-01-17,Tuesday,3,2023,Weekdays,1,Miami Beach,254,4594.63,18.09,43.0,51.7,48.3,57.0,75.2,40.9,0,0.0
2023-01-17,Tuesday,3,2023,Weekdays,4,Jacksonville,201,2990.26,14.88,43.0,51.7,48.3,57.0,75.2,40.9,0,0.0
2023-01-17,Tuesday,3,2023,Weekdays,3,Tampa,179,2892.34,16.16,43.0,51.7,48.3,57.0,75.2,40.9,0,0.0
2023-01-18,Wednesday,3,2023,Weekdays,1,Miami Beach,216,3603.99,16.69,44.7,50.3,49.7,55.3,69.2,44.2,1,2.51
2023-01-18,Wednesday,3,2023,Weekdays,4,Jacksonville,139,2248.94,16.18,44.7,50.3,49.7,55.3,69.2,44.2,1,2.51
2023-01-18,Wednesday,3,2023,Weekdays,2,Orlando,169,2820.04,16.69,44.7,50.3,49.7,55.3,69.2,44.2,1,2.51
2023-01-18,Wednesday,3,2023,Weekdays,3,Tampa,154,2571.78,16.7,44.7,50.3,49.7,55.3,69.2,44.2,1,2.51
2023-01-19,Thursday,3,2023,Weekdays,1,Miami Beach,288,5246.91,18.22,45.5,50.6,49.4,54.5,77.6,49.8,0,0.0
2023-01-19,Thursday,3,2023,Weekdays,2,Orlando,238,4165.97,17.5,45.5,50.6,49.4,54.5,77.6,49.8,0,0.0
2023-01-19,Thursday,3,2023,Weekdays,4,Jacksonville,195,2941.11,15.08,45.5,50.6,49.4,54.5,77.6,49.8,0,0.0
2023-01-19,Thursday,3,2023,Weekdays,3,Tampa,202,3296.65,16.32,45.5,50.6,49.4,54.5,77.6,49.8,0,0.0
2023-01-20,Friday,3,2023,Weekdays,1,Miami Beach,232,4301.64,18.54,43.6,49.8,50.2,56.4,72.0,45.2,0,0.0
